q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
11	15796985021	3	1	7	643
11	16541215392	5	1	7	-71
11	19885671410	5	1	2	-843
11	20822528702	5	1	7	-1250
11	21803523380	5	1	6	-2732
11	22830734855	3	1	7	-479
11	25032620269	4	1	6	1144
11	28739945678	2	1	6	2147
11	30093947115	3	1	6	1817
11	31511738509	1	1	10	3543
11	32996325143	2	1	8	2658
11	36178619865	4	1	8	-1803
11	37883073445	5	1	8	-5693
11	45542623846	5	1	2	-2507
11	49934932713	5	1	8	-3730
11	60031239563	2	1	8	1426
11	62859442007	3	1	8	1487
11	65820887229	2	1	8	1386
11	72168911173	3	1	6	-1687
11	75568945763	1	1	10	3556
11	79129163388	2	1	6	1104
11	82857110620	3	1	7	1106
11	86760689565	3	1	6	1887
11	90848174617	3	1	7	3202
11	99609928097	2	1	6	6036
11	100000000000	3	1	6	5583
11	104302768761	2	1	6	3367
11	109216699370	3	1	8	3476
11	119749985260	1	1	10	4975
11	130000000000	2	1	6	2799
11	137484931034	1	1	10	6609
11	150744515809	2	1	6	6852
11	165282906828	3	1	6	8280
11	173069744557	2	1	6	8767
11	228128957430	3	1	2	12212
11	238876609483	5	1	6	12354
11	261914804507	4	1	6	8045
11	274254181402	3	1	6	9398
11	287174893217	4	1	8	10525
11	300704327907	3	1	8	10241
11	314871163733	3	1	2	15041
11	329705430050	3	1	8	11127
11	345238570962	2	1	8	12715
11	361503511974	1	1	10	13593
11	572854891558	2	1	2	2890
11	599843333185	4	1	2	2152
11	657694571630	2	1	2	6959
11	688679995367	3	1	7	4561
11	755098989162	4	1	7	2803
11	790673347157	3	1	7	-2895
11	827923690639	2	1	7	11881
11	866928978933	2	1	2	14147
11	907771891314	1	1	10	17168
11	950539002253	2	1	7	12918
11	995320964936	1	1	10	9861
11	1196564169430	2	1	7	9910
11	1300000000000	1	1	10	12958
11	1311965500497	2	1	7	6389
11	1373775052704	3	1	7	5478
11	1438496587537	4	1	2	15072
11	1506267294840	5	1	7	4370
11	1577230827771	5	1	6	9890
11	1651537607297	4	1	7	17434
11	1810818357179	4	1	8	25274
11	1985460765900	4	1	2	10197
11	2079000146941	5	1	2	-5951
11	2176946371954	5	1	8	-23891
11	2279507056955	5	1	2	-11900
11	2617101537311	3	1	2	15931
11	2740398890815	4	1	7	6272
11	2869505051187	4	1	2	3573
11	3004693683969	3	1	8	31970
11	3294478101250	3	1	7	28116
11	3449688140017	4	1	8	25295
11	3612210461760	4	1	6	13682
11	3782389564056	3	1	6	367
11	3960586174514	5	1	6	-8795
11	4342560604319	5	1	7	-19042
11	4547148092543	5	1	8	-30668
11	5466532578244	4	1	7	-53442
11	5724072834185	3	1	7	-25872
11	5993746372511	4	1	8	-24623
11	7205617486879	3	1	6	23344
11	7545089820617	2	1	6	22889
11	7900555435372	4	1	6	2686
11	8272767809448	5	1	8	-20850
11	8662515919149	3	1	7	2720
11	9497962853795	5	1	7	-16874
11	9945432570527	5	1	8	-13016
11	10413983560209	4	1	8	-15348
11	11418348888254	3	1	6	-3990
11	11956292173695	3	1	8	4982
11	12519579138962	2	1	8	4335
11	13000000000000	3	1	8	11503
11	13109403780009	4	1	8	5538
11	13727016344541	2	1	8	25333
11	15050903519343	3	1	6	55302
11	16502471554108	2	1	8	66772
11	17279938931625	3	1	8	60998
11	18094034490631	3	1	6	57135
11	19839093985085	4	1	6	33175
11	20773756912534	3	1	6	68879
11	21752453846202	4	1	6	50295
11	23850345619961	3	1	6	81298
11	24973987348488	2	1	6	82095
11	27382576420175	5	1	6	33601
11	28672629234945	1	1	10	76973
11	30023459247572	4	1	6	33446
11	31437929804219	2	1	6	93883
11	32919039149526	1	1	10	81258
11	34469926781966	4	1	6	63232
11	36093880108624	4	1	2	129576
11	37794341413493	1	1	10	135783
11	43391674841769	2	1	6	163545
11	47576537770051	3	1	6	113324
11	49817972086731	2	1	6	119549
11	52165005255944	3	1	8	120939
11	54622612269628	1	1	10	133710
11	65666717556514	3	1	2	49916
11	68760419643587	2	1	2	102066
11	78943822264697	1	1	10	122357
11	82663037672284	2	1	2	62918
11	86557473418223	1	1	10	173929
11	108960885395717	2	1	7	114302
11	114094270024970	4	1	7	138949
11	119469499584686	4	1	2	160681
11	125097967916282	2	1	2	59325
11	130991605649859	1	1	10	101356
11	157476700821694	2	1	6	-48430
11	164895771183756	1	1	10	30675
11	172664370109409	4	1	2	40986
11	180798964650562	5	1	2	-72434
11	189316797657804	4	1	2	-42091
11	198235924329971	5	1	2	-81319
11	207575250485640	4	1	7	-12473
11	217354572637679	5	1	6	-11597
11	227594619955796	4	1	7	-16916
11	238317098206027	4	1	6	80761
11	249544735760329	5	1	7	-7207
11	261301331773756	5	1	2	81236
11	273611806631400	4	1	7	68561
11	286502254771965	4	1	6	201035
11	300000000000000	3	1	7	137533
19	1000000	1	1	18	71
19	1148100	2	1	10	57
19	1202189	2	1	3	51
19	1258827	1	1	18	72
19	1445259	2	1	3	74
19	1513348	1	1	18	86
19	1584645	2	1	3	65
19	1905044	1	1	18	99
19	2088774	3	1	3	61
19	2187180	3	1	8	81
19	2290223	1	1	18	88
19	2882995	2	1	13	70
19	3309966	1	1	18	65
19	3465905	2	1	13	63
19	3629192	3	1	13	47
19	3800171	2	1	3	28
19	4166674	1	1	18	70
19	4362975	2	1	13	47
19	5245122	5	1	3	35
19	5492231	3	1	3	65
19	5750982	4	1	3	42
19	6021923	3	1	3	56
19	6305629	4	1	2	40
19	6602701	4	1	3	-8
19	6913769	2	1	2	60
19	7239491	5	1	3	27
19	7580560	3	1	3	22
19	8311658	6	1	13	14
19	8703239	5	1	10	28
19	9113267	6	1	10	4
19	9542613	7	1	10	33
19	9992186	6	1	10	80
19	10000000	6	1	10,13	78
19	10462940	4	1	10	122
19	10955872	4	1	13	111
19	11472027	5	1	13	82
19	12012499	6	1	13	73
19	12578434	4	1	13	122
19	15121658	3	1	13	159
19	15834073	1	1	18	197
19	16580050	3	1	13	186
19	17361172	2	1	13	178
19	18179095	3	1	3	205
19	19932358	2	1	3	255
19	25091391	3	1	3	246
19	26273501	2	1	3	217
19	28807420	4	1	3	242
19	30164600	4	1	13	184
19	31585720	1	1	18	207
19	39760958	2	1	2	246
19	41634183	1	1	18	327
19	50052168	2	1	3	351
19	52410235	6	1	10	273
19	57464883	5	1	10	200
19	60172178	2	2	10	289
19	63007021	3	1	10	291
19	65975419	2	1	8	430
19	69083665	1	1	18	446
19	165670951	3	1	3	311
19	181648906	2	1	3	301
19	199167838	3	1	15	370
19	208551068	3	1	3	357
19	228664549	2	1	3	220
19	239437434	3	1	3	232
19	250717853	2	1	3	359
19	287849111	3	1	13	412
19	315610406	2	1	13	180
19	330479499	4	1	13	4
19	346049108	1	1	18	373
19	362352235	2	1	13	158
19	379423438	3	1	3	142
19	397298903	2	1	3	50
19	416016520	4	1	3	15
19	435615964	3	1	3	183
19	477628472	4	1	10	310
19	500130590	3	1	10	528
19	523692831	2	1	10	559
19	548365141	1	1	18	567
19	574199817	3	1	10	476
19	629577895	4	1	13	379
19	690296850	5	1	13	237
19	756871780	4	1	13	267
19	792529658	5	1	13	662
19	829867457	4	1	13	790
19	868964320	6	1	13	724
19	909903122	7	1	13	706
19	952770639	6	1	13	550
19	997657739	7	1	13	430
19	1000000000	6	1	13	438
19	1044659568	6	1	10	799
19	1093875756	5	1	10	672
19	1145410625	4	1	10	1027
19	1199373415	4	1	13	1248
19	1315045680	3	1	13	1541
19	1377000346	3	1	3	1281
19	1441873832	2	1	13	1586
19	1509803648	1	1	18	1725
19	1733405228	3	1	3	1959
19	1815069724	1	1	18	1856
19	2083881140	3	1	3	1802
19	2182057319	2	1	3	1620
19	2623245863	1	1	18	2557
19	2876241959	2	1	3	2414
19	3153637990	1	1	18	2248
19	3302212744	2	1	3	2223
19	3457787179	3	1	3	1508
19	3620691064	4	1	3	1045
19	3791269706	2	1	3	1799
19	3969884679	3	1	3	1566
19	4156914593	2	1	3	2473
19	4352755893	1	1	18	3581
19	5232836365	2	1	10	2953
19	5479366683	1	1	18	2723
19	6007818249	2	1	3	1531
19	6290859651	1	1	18	1650
19	6897574775	3	1	10	246
19	7222534545	5	1	3	-234
19	7562803878	3	1	10	614
19	7919104041	4	1	8	668
19	8292190280	2	1	8	1200
19	9091921561	1	1	18	1880
19	9520261788	3	1	8	1598
19	9968782056	1	1	18	1468
19	11445156427	2	1	10	3230
19	11984362674	1	1	18	3329
19	13000000000	2	1	10	2516
19	13759244080	1	1	18	3580
19	14407472037	2	1	13	3044
