q	x	a	E_observed	E_K1	E_K3	E_K10	E_K25
11	150391432864885	2	0.186414392584	2.30637640478	2.19630303507	-0.170606679822	-0.422909691197
11	157476700821694	2	-1.50033408639	2.42995881883	2.29652297265	-0.490751924978	-1.33939453551
11	164895771183756	2	0.48302070602	2.57109774272	2.42489283404	0.290524893191	0.171123716428
11	172664370109409	2	4.02626318564	2.72796499301	2.57959093723	1.96565788072	2.34826828175
11	180798964650562	2	3.67861544916	2.89830660206	2.75495846183	3.8281925373	3.97585648852
11	189316797657804	2	4.74796589887	3.07944136892	2.9424643948	5.00011658947	4.58776815347
11	198235924329971	2	4.63377336949	3.26827516856	3.13251152273	4.99418489652	5.0245669215
11	200000000000000	2	4.91732621091	3.30521359311	3.16862525555	4.86765288233	5.07485075109
11	207575250485640	2	4.22523656669	3.46133167086	3.31665087094	4.07969381525	4.71452783382
11	217354572637679	2	3.57747279435	3.65479915956	3.48964572723	3.10106476951	3.06333994809
11	227594619955796	2	2.24600237101	3.84459221204	3.65082952892	2.83795621773	2.20662119214
11	238317098206027	2	4.79864622098	4.0264261668	3.80433784792	3.41375010837	3.01436576913
11	249544735760329	2	3.94992043705	4.19590162103	3.95803702391	4.25252424945	4.5225035973
11	261301331773756	2	6.93166727104	4.34859570899	4.12126969893	4.62327251549	5.7638799325
11	273611806631400	2	3.68515026231	4.48015664154	4.30182585526	4.29473933542	4.53288450244
11	286502254771965	2	3.99625436031	4.58639795048	4.50276228519	3.72587571345	2.05128578967
11	300000000000000	2	2.35582771896	4.66338907452	4.71978315157	3.63376742818	3.03453886986
11	1000000	6	2.48679190043	1.57270925837	0.0842066638412	1.3459466174	0.600693845904
11	1047112	6	0.948228832192	1.96666771789	1.05485292854	1.35067843509	1.75181051324
11	1096444	6	3.85173521018	2.28723172567	2.09598392586	1.26137789757	1.70200515613
11	1148100	6	1.95338685036	2.52281423202	3.12014530772	1.62937233932	1.67518433604
11	1202189	6	2.04291797286	2.66632921296	4.03064068403	2.75334090599	2.39387085881
11	1258827	6	4.63192806386	2.71551758327	4.73283498293	4.45643791539	4.22006444042
11	1318133	6	7.60985340933	2.67301879366	5.14617935848	6.11552409821	6.64703959601
