x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
1230000,holdout,-113.28351233387315,-113.28351233387313224193481518989474232812349720817120956726656314045121173131913,True,-62
1240000,holdout,-19.485213276398134,-19.485213276398121330975034970330847883246429896848055341349655648417630931286082,True,23
1250000,holdout,-57.619341230778446,-57.619341230778435099048554130990615277804911628871374324263384324157363099632757,True,-13
1260000,holdout,-91.167898527882258,-91.167898527882242596545019507274702643364036546676019164707800307963295309017011,True,-102
1270000,holdout,-156.02496963543828,-156.02496963543827734079028810682151556228117344669712412224293777764009881328185,True,-185
1280000,holdout,-130.49308825714107,-130.49308825714104101767980403601433275529606684304854489573376536646364309853279,True,-185
1290000,holdout,-140.38243824334876,-140.38243824334873854360856087958591648997187820996779580676456576025748188903889,True,-166
1300000,holdout,-58.987628172578631,-58.987628172578617589489690629740792333622746435980246537478792696993060747235783,True,-81
1310000,holdout,-55.365267017102106,-55.365267017102091853285292901983672477715077830753703777664308651986240970736064,True,-76
1320000,holdout,-48.136140669268116,-48.136140669268102495818948246550908216616369175866045807315830270991290234365014,True,-94
1330000,holdout,-18.085662015857462,-18.085662015857452103382472634762411151350085232815978329901936786603770255053004,True,-44
1340000,holdout,-20.270316845668365,-20.270316845668357022729477716341744648812965052510637378730062568389539790856787,True,-68
1350000,holdout,6.267858493770011,6.2678584937700211186124401080307042589168282754965683981818640421948052110562118,True,-35
1360000,holdout,34.231000108165247,34.231000108165255284069963938669225268437774775867152834757728104251955870217065,True,17
1370000,holdout,22.121368764922458,22.121368764922466488139296780012164648329641268544773029793009324778281371128376,True,-18
1380000,holdout,-40.961241513036995,-40.961241513036978797367110987446002312619617209755020391450639550809476063250780,True,-101
1390000,holdout,-30.417103506096375,-30.417103506096361564377106158863632986706406313084479756734536792035462385964267,True,-126
1400000,holdout,-155.19486738472415,-155.19486738472414491375986040440043737283058982389648222864250076326203537231134,True,-247
1410000,holdout,-88.744727134320073,-88.744727134320055764345361348543576058918083839124294146982993912574277741082189,True,-164
1420000,holdout,36.207200771804906,36.207200771804914729651241110308189397210977155377475923934901427346530195829959,True,-5
1430000,holdout,16.605380927972764,16.605380927972770689989666445036780310627135386011009379750198683273574805173979,True,8
1440000,holdout,-65.910755380295726,-65.910755380295718836252184387604208139759196707508068251546061942760936073287922,True,-105
1450000,holdout,-20.092868218566426,-20.092868218566419086100972365388747709121470206648308461220008406297192774584018,True,-4
1460000,holdout,-55.242893088886149,-55.242893088886140379985369303367073452408731769163444005025430305456670382130041,True,-41
1470000,holdout,-59.59842821958766,-59.598428219587644888862569707616654923550817919562294920735507438603272230806126,True,-59
1480000,holdout,-80.644377500029464,-80.644377500029441041876973214618037065371098928471013110591150318543176647770168,True,-75
1490000,holdout,-187.40119913229628,-187.40119913229625588296652911425927834171576118177664344396178848872414006695419,True,-242
1500000,holdout,-206.27609839181375,-206.27609839181373248850002044523396329451670686604479858598596043351868807405505,True,-293
1510000,holdout,-283.45630110110778,-283.45630110110778765417936269144113950249506411694160777293880829215430959862388,True,-340
1520000,holdout,-256.05489506284994,-256.05489506284993768295285039268196215765229545798288447958012796839884171030150,True,-291
1530000,holdout,-206.8783136237416,-206.87831362374159693055054752644735664726604432202898362549680647983603992792766,True,-233
1540000,holdout,-125.28395640030179,-125.28395640030177820121506577713083730639923458473178699276864834506490171806706,True,-162
1550000,holdout,-95.074510835436769,-95.074510835436752854393363695241690120522825489307448963833345241891136488773977,True,-104
1560000,holdout,-85.20794718662826,-85.207947186628253555443008037754720578646778860310132061504544195912092373155567,True,-44
1570000,holdout,-13.726123281914877,-13.726123281914869288975715862857312201485436948286304051939233832756175959582524,True,38
1580000,holdout,1.2527768076288157,1.2527768076288299789673805043819625907543605613511027136306438153383622660645450,True,68
1590000,holdout,59.445818874216641,59.445818874216647845461647398883998124698950282157707885301184829114655462625002,True,126
1600000,holdout,106.72801405964972,106.72801405964972803263210556557170984699790801335783905564004960051586975482028,True,168
1610000,holdout,81.242772064824351,81.242772064824357206525428147151568026549259970750073810998587666583308168208685,True,159
1620000,holdout,106.58434539995652,106.58434539995651845073246707571075642959166874733724515879462417787350840226367,True,186
1630000,holdout,63.424679325035811,63.424679325035814708197440317491688153352288302260113035630299242009884639881732,True,146
1640000,holdout,67.351350234234147,67.351350234234146494625742099134628956902878071313414210700316524893151285504132,True,136
1650000,holdout,83.52226833012088,83.522268330120890318405331055322473370951787556507347834563531851018963913380754,True,184
1660000,holdout,60.638243662019377,60.638243662019375518357308834599946873449403910397751614316819591718959002779217,True,146
1670000,holdout,25.312535828862845,25.312535828862844900980662614476766385040826021950620520345686647804624856795945,True,121
1680000,holdout,1.1727790248262888,1.1727790248262861181328981572094771002157133057425950978179738203218291157124888,True,96
1690000,holdout,89.064342372542356,89.064342372542353107036487605354683031261300051445949771043936940097588899214030,True,225
1700000,holdout,22.129875664993648,22.129875664993651216093348605049561315598559005423399519350194840910766915182881,True,104
1710000,holdout,-15.331186187457941,-15.331186187457940797402836657457782329195497007815858394411528991741671526009665,True,43
1720000,holdout,52.792987527762719,52.792987527762719953241401403802548559857474795276907280455650478691604904707441,True,140
1730000,holdout,126.06631696393025,126.06631696393024641301320788657383386715260484920800982579803775567425338833670,True,241
1740000,holdout,195.42844403201642,195.42844403201641066677226502900963123777575128941460594682055123389506313264969,True,342
1750000,holdout,141.66298200737776,141.66298200737776208240480330517369550143902398658746259696773091745830268273010,True,277
1760000,holdout,198.93609315595842,198.93609315595841716135991654131586256695987390209843774968362799634273009523219,True,360
1770000,holdout,270.48638181228569,270.48638181228571428007654815811895136992168525247678571536043524453692286895099,True,436
1780000,holdout,277.02901663672407,277.02901663672406065973617644393224836300449501755794715060760399687724827654782,True,464
1790000,holdout,304.14569332589315,304.14569332589312185195028512940278100299182367889076021589398393756633512464220,True,525
